AABB	Asia Broadband Inc
AABVF	Aberdeen Intl Inc
AACAF	Aac Tech Holdings
AACAY	Aac Acoustic Tec ADR
AACH	Aac Holdings Inc
AACS	American Comm Solut
AACTF	Act Aurora Ctl Tech
AAGC	All American Gld Crp
AAGFF	Aftermath Silver Ltd
AAGH	America Great Health
AAGIY	Aia Group Ltd
AAIGF	Aia Group Ltd
AAIIQ	Alabama Aircraft Industries Inc
AAIRF	American Aires Inc
AAMAF	Atlas Mara
AAMMF	Almadex Minerals Ltd
AAMTF	Armada Mercantile Ltd
AANNF	Aroundtown Sa
AAPJ	Aap Inc
AAPT	All American Pet Company Inc
AASL	America's Suppliers Inc
AASP	All-Amer Sportpark
AASZF	Atlantic Sapphire As
AATDF	Aa Plc
AATGF	Ati Airtest Techs Inc
AATRL	Amg Cap TR II
AATV	Adaptive Ad Systems Inc
AAUKF	Anglo American Ord
AAVMY	Abn Amro Bank N.V. ADR
AAVVF	Advantage Oil & Gas Ltd
AAVXF	Abivax S.A.
AAWC	Alexandria Advantage Warranty Company
AAXT	Aamaxan Transport Grp Inc
AAZZF	A2Z Technologies Cda Corp
ABAKF	Aberdeen Asia-Pacific Income Investment Co. Ltd
ABBB	Auburn Bancorp Inc
ABBRF	Abraplata Resource Corp
ABBY	Abby Inc
ABCAF	Athabasca Minerals
ABCE	Abco Energy Inc
ABCFF	Abacus Mng & Expl Cp
ABCP	Ambase Corp
ABCZF	Abcam Plc
ABCZY	Abcam Plc
ABDR	Ambassador Food Svcs Corp
ABEPF	Abe Resources Inc
ABFOF	Abertis Infraestructuras Sa
ABGOF	Abengoa S.A.
ABILF	Ability Inc
ABKB	American Basketball
ABLE	Able Energy Inc
ABLT	Amer Biltrite Inc
ABLZF	Abb Ltd Zuerich
ABMBF	Abcourt Mines Inc Cl
ABMC	Amer Bio Medica
ABML	American Battery Metals Corp
ABMRF	Abn Amro Group NV Dep Receipts
ABMT	Advanced Biomedical
ABNAF	Aben Resources Ltd
ABPR	Airborne Security and Protective Services Inc
ABQQ	Ab International Group Corp
ABSCF	Ab Science Paris Ord
ABSSF	Airboss of America Corp
ABTI	Alterola Biotech Inc
ABTO	AB&T Financial Corp
ABTZY	Aboitiz Equity Ventures Inc ADR
ABVC	American Brivision Corp
ABVG	Affinity Beverage Group Inc
ABVN	Abv Consulting Inc
ABWN	Airborne Wireless Network
ABZPF	Aboitiz Power Corp
ABZPY	Aboitiz Power Corp ADR
ABZT	Ablaze Technologies Inc
ACAN	Americann Inc
ACAZF	Acadian Timber
ACBCQ	Albina Commty Bcp OR
ACBD	Annabidiol Corp
ACBM	Acro Biomedical CO Ltd
ACCA	Acacia Diversified
ACCFF	Accord Financial Corp
ACCMF	Aac Clyde Space Ab [Publ]
ACCR	Access Power Inc
ACCYY	Accor S.A.
ACDSF	Ascendas R E Inv TR
ACDVF	Air Canada
ACEJF	Acea S
ACEXF	Seven Aces Ltd.
ACEZ	Ariel Clean Energy Inc
ACFL	Amc Financial Holdings Inc
ACFN	Acorn Energy
ACGBF	Agricultural Bank
ACGBY	Agricultural Bk Chin
ACGI	Amacore Group Cl A
ACGPF	Accell Group NV Ord
ACGX	Alliance Creative Group Inc
ACGYF	Subsea 7 Sa Ord
ACHFF	Arch Biopartners Inc
ACKAY	Arcelik A S ADR
ACKDF	Auckland Intl Ltd NZ
ACKRF	American Creek Resources Ltd
ACLD	Acquire Ltd
ACLLF	Atco Ltd Cl I NV CD
ACMC	American Church Mort
ACMT	Acmat Corp
ACMTA	Acmat Corp A
ACNDF	Ascendas India TR
ACNE	Alice Consol Mines Inc
