TGIF	1933 Industries Inc.
TGIF.WT	1933 Industries Inc. Wts.
TGIF.DB	1933 Industries Inc.10% 14SEP21
SAFE	3 Sixty Risk Solutions Ltd.
JJJ.X	37 Capital Inc.
FFNT	4Front Ventures Corp.
SXX	66 Resources Inc.
JQ	79North Inc. (formerly was TWLV/12 Exploration Inc. until 2020-08-18)
ATT	Abattis Bioceuticals Corp.
ACRG.U	Acreage Holdings, Inc.
XTRX	Adastra Labs Holdings Ltd.
AOC	Advantagewon Oil Corp.
ADX	Advantex Marketing International Inc.
ATHR	Aether Catalyst Solutions, Inc.
AFI	Affinor Growers Inc.
AGRA	AgraFlora Organics International Inc
AGRO	Agrios Global Holdings Ltd.
AJN	AJN Resources Inc.
AMS.X	Alchemist Mining Inc. (formerly was AMS/Alchemist Mining Inc. until 2020-08-05)
AGN.WT	Algernon Pharmaceutical Inc. Wts.
AGN	Algernon Pharmaceuticals Inc.
ACG	Alliance Growers Corp.
AHG	Alternate Health Corp.
WIFI	American Aires Inc.
USGD	American Pacific Mining Corp.
XCX	AMP German Cannabis Group Inc.
AMPD	AMPD Ventures Inc.
AFD	Ansar Financial and Dev Corporation
API	Appia Energy Corp.
ASTI	Aquarius Surgical Technologies Inc.
AG.UN	Arctic Glacier Income Fund
AREV	AREV NanoTec Brands Inc. (formerly was AREV/AREV Brands International Ltd. until 2020-03-18)
ARQ	Argo Gold Inc.
ARM	Armada Mercantile Ltd.
ARO	Armadillo Resources Ltd.
ASE	Asante Gold Corporation
ASIA	Asia Green Biotechnology Corp. (formerly was ASIA/Asia Cannabis Corp. until 2020-04-15)
AWR	Aurwest Resources Corporation (formerly was SRS/Shamrock Enterprises Inc. until 2020-01-07)
AUSA	Australis Capital Inc.
AUAG	Auxico Resources Canada Inc.
AVM.X	Avarone Metals Inc. (formerly was AVM/Avarone Metals Inc. until 2020-04-14)
ACA	Axiom Capital Advisors Inc.
AYL	Aylen Capital Inc.
AYR.RT	Ayr Strategies Inc. Rts.
AYR.A	Ayr Strategies Inc. S.V.
AYR.WT	Ayr Strategies Inc. Wts.
BAC	BacTech Environmental Corporation
BBR	Bam Bam Resources Corp. (formerly was KOPR/KOPR Point Ventures Inc. until 2019-12-04)
CRFT	BC Craft Supply Co. Ltd. (formerly was CRFT/Pasha Brands Ltd. until 2020-05-15)
BEE	Bee Vectoring Technologies International Inc.
BE	Beleave Inc.
BLGV	Belgravia Hartford Capital Inc. (formerly was BLGV/Belgravia Capital International Inc. until 2019-12-20)
BBT	Benchmark Botanics Inc.
BKS	Berkley Renewables Inc.
PLNT	Better Plant Sciences Inc. (formerly was BOSS/The Yield Growth Corp. until 2020-08-17)
BETR	BetterLife Pharma Inc.
BEV	BevCanna Enterprises Inc.
BXV	Bexar Ventures Inc.
BHNG	Bhang Inc.
BIGG	BIGG Digital Assets Inc (formerly was BIGG/BIG Blockchain Intelligence Group Inc. until 2019-10-03)
CURE	Biocure Technology Inc.
BHSC	BioHarvest Sciences Inc.
BUX	BioMark Diagnostics Inc.
BIO	Biome Grow Inc.
ZRO	BIOSENTA Inc.
BDR	Bird River Resources Inc.
BRH	BitRush Corp.
TUSK	Black Tusk Resources Inc.
BLR	Blackhawk Growth Corp. (formerly was BLR/Blackhawk Resource Corp. until 2020-03-10)
BLR.WT	Blackhawk Growth Corp. 17DEC2024 Wts.
BCFN	Blockchain Foundry Inc
PLAY	Blocplay Entertainment Inc.
BLK	BLOK Technologies Inc.
BLLG	Blue Lagoon Resources Inc.
BBM	Blueberries Medical Corp.
BTC	Bluesky Digital Assets Corp.
BTC.PR.A	Bluesky Digital Assets Corp. Pr A (formerly was GPC.PR.A/Gunpowder Capital Corp. Preferred Shares, Series A until 2019-11-29)
BWEL.U	Bluma Wellness Inc.
BAMM	Body and Mind Inc.
BOLT	Bolt Metals Corp. (formerly was BOLT/Pacific Rim Cobalt Corp. until 2020-02-25)
BJB	Bond Resources Inc.
BGRD.X	Braingrid Limited (formerly was BGRD/Braingrid Limited until 2020-03-17)
BXXX	Brand X Lifestyle Corp. (formerly was BXXX/Block X Capital Corp. until 2020-03-27)
BCA	Bucephalus Capital Corp.
BFG	Bullfrog Gold Corp.
BNKR	Bunker Hill Mining Corp.
